N,P,K,temperature,humidity,ph,rainfall,label
53.3,26.5,21.8,17.5,78.6,5.3,1649.5,coffee
56.7,23.2,19.0,16.5,74.2,5.58,1751.8,coffee
75.6,20.5,32.4,19.0,82.8,5.3,1553.6,coffee
80.6,16.0,12.3,19.5,77.1,5.56,1672.4,coffee
81.3,21.4,45.4,18.3,76.9,5.89,1721.3,coffee
49.0,19.9,34.5,20.1,77.3,5.45,1578.5,coffee
73.8,18.4,32.3,18.9,77.1,5.46,1652.9,coffee
62.0,21.6,12.6,17.2,75.0,5.9,1613.0,coffee
38.5,39.8,43.6,17.5,78.2,5.14,1841.9,coffee
72.9,23.4,37.3,19.9,77.2,5.19,1719.3,coffee
72.0,20.7,50.2,18.9,76.6,5.52,1760.5,coffee
67.0,27.2,30.7,18.6,80.1,5.86,1722.7,coffee
66.9,21.7,33.5,21.5,79.5,5.91,1859.5,coffee
69.6,19.4,33.2,19.6,76.7,5.64,1668.5,coffee
65.4,10.8,36.4,21.9,80.1,5.28,1575.6,coffee
68.5,25.9,35.3,19.2,76.6,5.94,1409.2,coffee
67.1,25.9,28.1,21.0,77.0,5.65,1953.9,coffee
74.3,21.6,28.5,21.9,75.2,4.77,1743.8,coffee
71.0,20.2,37.7,20.1,80.0,5.44,2110.1,coffee
51.2,7.6,26.2,18.3,77.9,5.24,1730.4,coffee
59.9,24.4,27.9,21.2,80.3,5.4,2033.2,coffee
42.5,24.2,34.8,21.0,80.2,5.53,1608.1,coffee
86.0,25.2,18.7,21.0,76.9,5.37,1825.7,coffee
48.1,19.5,37.7,18.6,74.4,5.37,1373.0,coffee
60.1,18.7,27.0,20.8,81.0,5.53,1505.9,coffee
32.9,12.7,36.1,22.5,78.0,5.36,1519.8,coffee
60.9,15.6,18.2,16.9,79.0,5.68,1494.2,coffee
73.3,37.9,33.9,17.5,78.7,5.39,1677.7,coffee
50.1,34.1,15.6,17.6,80.0,5.34,1714.3,coffee
52.8,26.0,40.3,19.8,76.7,5.93,1597.1,coffee
52.6,25.5,32.4,17.6,76.7,5.18,1839.3,coffee
39.6,24.4,21.6,18.4,74.9,5.32,1664.0,coffee
70.5,27.0,14.3,22.6,74.5,5.31,1763.8,coffee
55.8,18.1,17.2,18.3,78.2,5.64,1807.2,coffee
48.0,24.8,29.4,24.2,80.7,5.43,2271.1,tea
79.5,27.2,10.0,22.6,86.9,5.4,1866.8,tea
38.5,22.7,15.5,22.8,83.5,5.24,2087.3,tea
82.0,31.3,50.0,25.1,78.7,5.39,1948.3,tea
70.9,22.0,18.4,19.0,76.4,5.61,2060.8,tea
50.5,34.3,13.0,20.0,80.5,5.25,1793.8,tea
50.0,18.8,27.1,23.1,80.0,5.37,1890.2,tea
60.4,26.8,26.7,20.0,81.8,5.27,1798.7,tea
79.6,30.3,35.7,24.1,80.0,5.04,1972.5,tea
51.8,27.2,39.7,26.3,79.9,5.15,2000.7,tea
51.2,27.9,37.9,24.3,82.3,5.19,1550.9,tea
43.4,26.5,26.3,18.0,75.9,5.4,1897.1,tea
46.0,22.5,22.1,19.9,76.5,5.24,1416.6,tea
60.4,10.4,30.5,20.7,78.8,5.2,1589.6,tea
68.3,23.2,24.2,18.3,83.1,5.39,1554.0,tea
64.7,22.2,40.3,25.7,77.8,5.06,1879.2,tea
41.7,24.3,34.7,21.7,84.7,5.06,1589.9,tea
65.0,16.3,23.0,19.0,78.8,5.71,2000.7,tea
69.6,29.8,49.8,22.9,79.8,5.62,1674.0,tea
56.2,21.4,23.4,19.3,79.2,5.13,1846.4,tea
75.3,30.8,34.5,20.7,80.8,5.07,1708.3,tea
39.9,25.8,33.3,20.2,79.7,5.26,1859.5,tea
37.3,36.6,41.8,25.6,77.0,5.43,1631.9,tea
64.3,29.4,22.5,23.1,79.6,5.24,1521.2,tea
65.8,7.9,34.0,24.5,81.3,5.21,1962.8,tea
78.1,23.4,39.9,26.2,81.7,5.39,2019.2,tea
50.3,6.1,20.7,22.8,83.4,5.12,1864.0,tea
40.1,25.9,20.2,20.3,81.1,5.42,1839.1,tea
68.7,21.1,40.9,17.7,80.3,5.34,1920.3,tea
47.9,18.3,33.8,18.9,81.0,5.29,1621.3,tea
28.2,35.9,32.4,22.2,78.4,5.08,1625.1,tea
46.9,20.9,14.5,24.8,77.6,5.09,1783.8,tea
54.3,28.8,19.0,20.4,82.2,5.35,1725.5,tea
80.3,30.5,40.3,17.9,80.3,5.22,1829.6,tea
65.0,17.9,22.1,19.9,77.4,5.11,1922.0,tea
57.4,27.0,28.7,22.7,82.4,5.21,1684.5,tea
53.2,28.9,51.6,22.3,73.2,4.99,1651.2,tea
63.8,23.0,10.2,19.8,80.8,5.29,1708.3,tea
70.9,29.5,25.9,22.1,76.0,5.36,1839.7,tea
37.5,23.9,29.5,22.1,76.5,5.23,1655.5,tea
57.1,32.5,26.7,19.2,78.5,5.29,2270.5,tea
52.3,21.2,26.5,17.9,76.2,5.09,1939.9,tea
47.4,14.8,18.7,20.3,78.3,5.33,1877.2,tea
59.4,15.3,12.9,20.3,79.9,5.16,2060.4,tea
88.7,15.3,47.5,18.7,86.0,5.61,1622.8,tea
84.8,37.9,19.4,19.5,81.1,5.06,2206.4,tea
53.9,37.9,16.6,22.4,79.0,5.18,1430.3,tea
76.7,35.8,25.7,20.9,76.7,5.08,2013.5,tea
53.7,14.2,30.0,23.9,79.0,5.4,2187.3,tea
64.2,33.3,40.4,20.8,79.2,5.21,1649.2,tea
51.0,26.4,11.7,21.3,83.3,5.23,1731.5,tea
76.2,38.5,25.0,20.2,78.0,5.32,1733.6,tea
54.2,27.3,23.8,20.7,81.3,4.9,1702.7,tea
84.6,29.2,27.1,20.3,79.9,5.47,2064.8,tea
97.1,30.5,31.8,26.0,76.1,5.39,1302.6,tea
60.9,33.3,33.1,20.2,82.9,5.39,1970.5,tea
61.7,15.4,19.1,22.9,77.7,5.25,2060.3,tea
64.6,30.0,35.0,19.7,79.5,5.27,2075.7,tea
80.4,20.4,27.2,21.7,82.7,5.16,1820.0,tea
67.1,21.4,33.6,23.5,75.2,5.41,2362.5,tea
62.3,19.7,25.5,18.1,81.1,5.06,1678.2,tea
63.9,20.3,33.7,24.5,79.9,5.34,1597.6,tea
60.0,28.6,21.9,18.6,84.0,5.37,1744.5,tea
51.0,26.1,34.2,22.3,78.6,5.23,1752.2,tea
65.6,19.2,25.0,20.7,77.8,5.05,1232.1,tea
52.9,15.7,24.8,23.9,80.5,5.13,1680.9,tea
63.9,27.7,23.7,22.9,78.2,5.66,1640.9,tea
80.1,8.4,38.6,24.5,78.5,5.45,2111.1,tea
33.6,33.9,30.7,19.3,78.0,5.36,2137.2,tea
59.6,28.4,37.0,25.2,80.5,5.53,1694.8,tea
76.8,20.3,50.6,17.1,82.8,4.87,1737.1,tea
69.1,21.4,44.4,22.7,82.4,5.52,1676.6,tea
51.6,14.0,43.0,18.9,74.0,5.27,2082.2,tea
48.3,9.4,25.5,15.4,76.2,5.45,2149.8,tea
82.4,25.5,41.7,23.1,80.7,5.38,1655.4,tea
57.5,30.7,32.7,23.9,82.9,5.42,1830.0,tea
60.5,31.3,25.5,23.1,78.0,5.3,2257.9,tea
20.2,17.4,44.1,19.9,81.2,5.16,1836.1,tea
37.0,22.6,37.3,25.9,84.5,5.19,1742.5,tea
71.6,34.8,31.8,19.9,80.7,5.2,1980.7,tea
47.1,32.1,26.2,23.2,83.5,5.15,1534.4,tea
75.3,34.3,30.7,19.5,77.0,5.12,1786.4,tea
59.0,16.7,44.9,19.6,75.3,5.47,1939.7,tea
71.2,30.5,21.5,21.6,85.1,5.15,1757.7,tea
27.4,21.4,20.1,21.1,75.6,4.88,1795.4,tea
49.4,40.4,28.0,18.9,80.0,5.19,1758.8,tea
102.0,14.5,19.3,24.3,83.3,5.15,1582.1,tea
80.5,22.3,40.1,21.0,77.1,5.53,1773.1,tea
76.9,15.0,44.2,25.5,78.3,5.49,1847.9,tea
61.7,42.9,13.8,18.6,78.0,5.28,1932.1,tea
27.0,30.9,43.3,19.3,80.8,5.19,1749.2,tea
75.9,29.0,24.7,22.7,80.5,5.02,1751.1,tea
92.2,35.9,35.3,21.7,82.9,5.24,2073.5,tea
85.5,17.5,35.1,20.4,80.5,5.23,1770.9,tea
51.1,19.3,40.2,15.8,82.2,5.52,1931.7,tea
58.6,13.7,37.3,24.9,75.1,5.05,1800.8,tea
89.2,36.2,19.6,19.3,82.7,5.32,1834.3,tea
52.5,28.8,26.3,23.2,83.0,5.35,1883.1,tea
52.6,9.7,28.0,19.7,80.6,5.49,1825.9,tea
64.7,29.8,11.6,22.2,79.4,5.43,1889.5,tea
50.1,19.2,39.8,21.0,84.2,5.23,1819.9,tea
56.5,14.4,35.5,19.9,82.3,5.32,1665.2,tea
46.7,21.4,29.5,23.8,80.9,5.23,1643.5,tea
67.6,21.4,27.8,17.8,78.2,5.12,1973.7,tea
59.8,29.2,35.7,21.2,78.7,5.25,1682.1,tea
69.9,27.7,24.2,25.0,82.3,5.19,1523.6,tea
45.4,25.2,35.6,25.8,81.1,5.66,2014.9,tea
73.1,20.0,50.2,18.5,82.5,5.16,1706.1,tea
56.7,9.6,33.5,14.9,80.6,4.96,2068.5,tea
91.6,31.6,10.0,19.8,80.4,5.28,1427.5,tea
60.0,20.8,45.9,20.0,75.9,5.11,2089.4,tea
61.6,24.4,17.8,22.0,77.7,5.04,1857.2,tea
59.8,23.1,41.3,22.2,79.2,5.47,1862.4,tea
74.0,21.7,16.7,21.1,77.1,5.26,1763.0,tea
66.3,12.6,24.2,24.4,81.5,5.27,2077.6,tea
41.5,28.9,27.4,23.4,82.3,5.54,1923.3,tea
56.5,25.4,10.3,20.2,76.1,5.22,2385.6,tea
68.7,12.3,27.7,18.7,76.5,5.43,1860.6,tea
100.3,33.8,23.9,22.6,76.1,5.07,1551.9,tea
47.8,27.5,27.4,17.7,83.8,5.63,1671.2,tea
74.2,18.2,26.9,25.1,82.4,5.0,1613.0,tea
47.6,35.5,10.0,19.7,82.5,5.17,2274.9,tea
60.5,22.1,30.7,22.9,85.6,5.76,1642.2,tea
62.0,27.3,23.7,19.7,80.6,5.37,1677.9,tea
63.0,27.7,29.4,18.9,81.9,5.26,1645.6,tea
52.9,33.2,33.3,21.8,81.9,5.22,2130.8,tea
64.3,39.6,26.6,20.6,84.2,5.04,1570.2,tea
54.6,25.6,30.7,21.4,77.0,4.94,2035.0,tea
55.8,40.9,27.7,25.5,79.6,5.53,1645.1,tea
66.0,23.8,42.7,19.5,80.6,5.17,1841.5,tea
60.5,21.4,22.8,22.9,79.2,5.4,1852.3,tea
76.1,29.8,38.5,23.5,79.3,5.35,1747.8,tea
57.1,16.3,10.0,23.5,81.0,5.59,1851.8,tea
75.5,30.1,35.0,27.0,77.5,5.49,2279.2,tea
59.2,35.4,40.2,19.4,80.9,5.26,1878.0,tea
42.0,25.6,37.1,24.0,80.6,5.47,2052.0,tea
44.0,27.4,22.8,23.0,82.3,5.52,1931.1,tea
37.5,32.6,24.6,24.5,77.6,5.25,2006.9,tea
52.7,24.2,27.1,18.3,81.5,5.3,1775.1,tea
59.8,41.4,24.0,18.9,80.0,5.36,1445.8,tea
59.2,24.3,36.8,21.4,81.1,5.2,1955.3,tea
72.0,12.5,36.8,19.5,79.1,5.57,1322.7,tea
51.6,39.7,36.4,22.1,77.3,5.1,1768.8,tea
60.2,23.8,31.0,19.5,79.9,5.17,1732.6,tea
92.9,13.4,31.0,15.8,78.6,5.42,2023.4,tea
47.7,38.0,48.6,20.3,74.7,5.18,1935.5,tea
39.0,29.2,28.0,20.7,77.9,5.26,1601.4,tea
64.4,27.0,10.2,22.5,83.4,5.37,1935.5,tea
37.7,19.1,23.6,22.0,79.7,5.56,1982.6,tea
75.2,31.0,23.1,21.5,76.9,5.18,1709.9,tea
40.8,30.3,48.2,20.4,76.8,5.33,1681.5,tea
65.5,27.5,23.7,22.6,81.5,5.16,1984.9,tea
37.8,40.0,46.3,14.4,77.6,5.34,1623.0,tea
48.8,31.3,36.0,24.5,74.8,5.41,1739.5,tea
64.2,28.8,23.4,20.3,80.5,4.96,1585.6,tea
76.4,20.5,22.4,17.2,78.7,5.21,2202.8,tea
62.0,20.9,28.0,27.2,83.0,5.28,1691.3,tea
65.7,30.1,37.7,26.6,76.6,5.06,2035.3,tea
84.5,5.0,27.6,21.3,78.0,4.82,1666.0,tea
65.3,32.0,25.8,16.5,81.4,4.82,1723.4,tea
55.8,25.9,39.3,29.3,75.7,5.19,1363.6,tea
72.1,24.4,24.9,17.9,78.3,5.44,1555.7,tea
37.8,22.9,37.2,21.1,80.2,4.99,1928.4,tea
48.3,8.3,24.5,18.5,75.5,5.26,1938.3,tea
30.3,29.6,34.1,17.9,81.0,5.34,1790.1,tea
68.9,32.8,20.1,20.3,79.0,5.55,1575.2,tea
53.3,19.5,32.4,20.0,78.3,5.5,1569.0,tea
54.3,16.1,40.5,19.9,78.6,5.29,1870.1,tea
63.7,11.5,24.6,26.7,76.2,5.21,1957.8,tea
43.6,24.5,26.4,17.5,80.8,5.24,1626.9,tea
42.5,16.4,24.8,24.0,78.1,5.53,1400.7,tea
54.7,28.6,29.6,25.1,77.3,5.23,1937.1,tea
50.6,33.5,35.9,22.1,83.3,5.24,1780.3,tea
60.6,34.5,20.5,18.9,81.4,5.17,1100.0,tea
70.1,9.6,15.8,18.3,85.5,5.47,1547.5,tea
75.8,39.3,34.4,23.5,79.3,5.0,1937.0,tea
54.6,41.5,25.5,19.4,80.4,5.56,2180.2,tea
44.7,17.0,26.2,19.6,79.8,5.32,2029.7,tea
85.6,16.6,33.4,22.5,82.7,5.23,1681.5,tea
41.5,27.3,20.1,22.8,79.9,5.41,1908.7,tea
84.8,33.0,30.4,19.9,82.4,4.99,1908.2,tea
49.8,26.6,23.7,18.5,81.2,5.34,2181.3,tea
71.9,30.2,18.3,24.9,79.6,5.14,2118.6,tea
68.2,20.5,37.7,20.7,80.0,5.29,2325.1,tea
63.1,13.7,27.3,22.6,75.8,5.32,2093.8,tea
53.0,41.0,33.3,22.6,79.9,5.25,1860.9,tea
59.5,22.4,23.8,22.4,79.2,5.15,1562.4,tea
67.5,31.8,37.9,20.9,81.5,5.4,1615.4,tea
48.6,15.1,34.3,17.9,82.2,4.89,2173.4,tea
45.6,28.7,48.3,20.0,84.3,5.52,1855.2,tea
82.7,21.6,28.5,18.9,79.6,5.07,2059.7,tea
61.7,28.0,39.8,20.5,82.5,5.11,2078.2,tea
67.3,28.9,22.9,19.8,82.0,5.07,2149.5,tea
90.7,24.0,31.1,22.7,76.2,4.65,1850.5,tea
32.2,25.5,48.7,18.6,85.4,5.7,1720.3,tea
81.7,29.2,17.8,22.1,79.6,5.35,1998.2,tea
43.6,17.0,22.8,19.7,79.8,5.15,2017.6,tea
71.5,18.4,46.2,22.8,80.4,5.28,1737.9,tea
26.9,34.7,38.3,16.5,78.9,5.1,1779.4,tea
56.4,31.4,25.1,22.9,78.7,5.19,1692.6,tea
80.8,21.7,39.3,19.1,80.1,5.34,1881.8,tea
89.7,26.4,18.5,21.9,83.1,5.11,2072.0,tea
51.9,22.0,14.2,18.3,83.3,5.46,2169.2,tea
55.0,27.3,38.5,20.7,83.8,5.2,1887.0,tea
56.0,20.0,27.4,25.9,79.6,5.28,1698.5,tea
54.1,20.6,30.2,18.0,76.9,5.25,1718.6,tea
69.1,35.2,15.7,14.5,80.5,5.43,1781.3,tea
106.9,26.2,30.8,24.5,78.7,5.27,1914.7,tea
38.4,25.3,29.4,23.9,78.0,5.51,1802.6,tea
75.7,18.8,22.2,19.1,79.7,5.32,1564.5,tea
35.3,15.4,43.9,25.8,79.2,5.48,1748.6,tea
53.1,26.1,42.5,19.8,78.9,5.19,1734.3,tea
55.6,17.8,10.0,19.2,80.1,5.54,1721.9,tea
56.1,36.4,32.2,19.3,77.0,5.26,1662.0,tea
43.1,34.3,22.5,24.4,77.8,5.37,1812.9,tea
88.8,19.0,23.5,23.6,77.6,5.48,1931.5,tea
62.1,22.2,25.9,21.7,83.1,5.18,2038.0,tea
82.9,31.6,26.0,20.0,82.2,5.27,1554.6,tea
55.1,19.8,21.5,18.3,75.8,5.19,2254.6,tea
52.1,20.8,19.6,18.0,79.9,5.31,1692.8,tea
46.3,24.8,35.2,22.0,80.9,5.15,1860.4,tea
51.8,18.3,38.0,19.0,76.9,5.03,1714.0,tea
29.9,28.2,41.4,21.6,83.2,5.25,2124.1,tea
69.4,23.4,33.1,23.3,79.4,5.03,1925.6,tea
43.0,13.8,36.2,19.8,80.6,5.18,2283.2,tea
55.6,25.5,19.9,19.9,78.6,5.05,1752.5,tea
59.8,11.9,10.0,22.4,78.9,5.32,1584.9,tea
56.3,24.1,35.9,23.1,81.1,5.21,1999.5,tea
57.2,18.1,26.1,21.1,83.3,5.07,1931.0,tea
66.7,19.7,27.8,21.2,75.9,5.01,1659.4,tea
43.0,23.7,20.2,21.6,79.3,5.3,2046.6,tea
64.0,21.8,25.9,21.1,79.4,5.17,1877.6,tea
44.4,43.7,10.0,18.5,79.9,5.16,1959.6,tea
62.7,21.5,48.4,19.4,82.3,5.19,1745.5,tea
87.4,35.8,32.9,22.6,81.8,5.2,1709.1,tea
55.6,28.6,35.1,20.8,82.2,5.52,1712.4,tea
61.4,28.6,33.8,24.0,81.1,5.67,1681.3,tea
68.2,25.7,39.4,23.1,85.1,5.27,1599.2,tea
54.8,19.6,33.5,20.1,79.7,5.34,1566.8,tea
42.6,35.8,34.7,18.9,79.2,5.34,2062.2,tea
43.8,20.0,37.6,23.2,78.1,5.29,1570.4,tea
43.2,29.8,51.6,19.8,77.9,5.36,1931.0,tea
42.5,27.7,32.2,20.0,82.8,5.26,1706.7,tea
39.4,18.8,38.7,19.7,82.2,5.06,1704.6,tea
83.0,27.8,49.6,20.8,79.8,5.34,1727.7,tea
77.4,30.9,31.1,23.6,82.2,5.37,1785.5,tea
42.3,28.7,38.3,20.1,76.3,5.22,1879.2,tea
74.8,16.5,32.6,22.4,79.3,5.48,1814.8,tea
62.6,11.5,24.8,22.4,76.6,4.86,1805.5,tea
67.9,21.1,45.2,23.4,78.5,5.42,1940.1,tea
52.4,25.2,27.6,22.9,74.9,5.29,1681.1,tea
51.3,25.5,33.0,15.3,77.2,5.15,1786.7,tea
59.8,18.4,33.0,22.8,83.6,4.94,1330.5,tea
48.0,38.3,16.3,16.3,79.1,5.34,2185.7,tea
83.4,21.8,32.6,14.0,77.1,5.24,2145.3,tea
46.6,30.9,29.7,23.8,83.3,5.38,1856.5,tea
79.6,35.0,23.7,21.4,82.3,5.07,1922.0,tea
72.3,21.4,31.6,26.5,81.4,5.16,1812.4,tea
71.5,21.9,11.8,14.1,78.6,4.9,1747.8,tea
31.7,15.2,21.7,23.2,79.7,4.97,2086.1,tea
76.1,29.4,30.5,26.3,76.8,5.13,1805.8,tea
61.5,22.6,21.4,21.0,80.4,5.21,1850.8,tea
72.4,27.7,24.4,20.8,78.2,5.33,1921.5,tea
42.6,26.7,26.0,21.8,80.5,5.53,1883.3,tea
64.5,26.1,21.4,18.0,82.2,4.99,1577.4,tea
71.5,34.5,32.5,23.9,78.6,5.05,1594.0,tea
49.9,28.3,20.3,28.7,81.6,5.44,1946.6,tea
84.5,10.5,36.5,17.8,77.9,5.28,2086.6,tea
67.8,16.6,35.0,21.4,80.1,5.25,1834.8,tea
86.6,18.8,29.9,18.3,79.7,5.28,2305.8,tea
68.5,21.5,24.9,17.5,76.4,5.4,1639.8,tea
57.9,30.4,30.7,24.3,77.8,5.45,1848.9,tea
64.0,28.7,38.1,27.4,75.0,5.21,1805.2,tea
49.6,40.4,37.3,19.9,82.4,5.27,2188.8,tea
47.4,23.4,43.8,20.1,80.6,5.53,2153.8,tea
77.3,17.6,34.5,19.6,73.2,5.33,1795.1,tea
61.9,22.6,43.4,20.0,79.2,5.14,1523.0,tea
52.0,25.4,35.2,19.9,80.6,5.24,1822.0,tea
77.4,32.5,39.3,24.0,81.3,5.12,1391.1,tea
29.9,36.0,33.5,19.8,83.2,5.47,1548.2,tea
53.0,7.9,22.6,21.9,82.5,5.16,1671.8,tea
38.6,17.3,24.2,18.7,83.9,5.23,1400.0,tea
56.0,34.3,43.8,19.8,79.3,5.27,2023.5,tea
64.7,14.1,27.8,21.1,79.7,4.67,1645.0,tea
51.6,32.4,37.7,22.8,78.9,5.3,1726.4,tea
58.7,5.0,41.6,23.1,81.4,5.11,1713.4,tea
61.1,25.1,55.4,26.4,76.0,5.21,1898.7,tea
48.8,10.9,37.3,20.8,80.4,5.22,1724.9,tea
69.8,29.2,31.9,19.1,78.0,4.98,1631.9,tea
74.7,26.4,20.7,23.5,81.5,5.59,1943.5,tea
61.2,17.4,52.1,17.0,82.4,5.15,1468.8,tea
55.2,17.9,18.8,16.4,79.1,5.25,1880.0,tea
28.2,19.6,38.7,27.3,80.9,4.95,1785.5,tea
80.6,36.3,24.2,21.6,81.1,5.15,1733.0,tea
75.7,27.1,40.9,19.3,81.1,5.2,1834.1,tea
57.2,20.8,30.9,18.3,81.3,5.26,1721.6,tea
43.7,23.8,13.6,25.5,79.6,5.23,1414.7,tea
47.8,14.4,39.9,19.8,80.0,5.6,1791.8,tea
58.6,19.8,12.6,8.9,79.2,5.07,1715.9,tea
87.8,28.6,30.0,23.3,77.5,5.15,1992.3,tea
72.6,11.3,17.0,26.1,74.9,5.28,1498.6,tea
74.3,22.5,34.9,23.7,79.4,5.29,1600.3,tea
91.0,39.6,31.5,18.0,77.7,4.99,1977.6,tea
46.3,6.2,26.9,25.9,79.7,5.22,1779.4,tea
47.3,27.0,26.7,25.2,82.0,5.32,1909.8,tea
93.3,30.6,32.5,18.5,76.7,5.13,2049.2,tea
57.1,18.1,41.7,15.3,77.1,5.24,1824.5,tea
85.0,23.3,26.0,24.2,83.9,5.03,1606.0,tea
60.4,28.8,42.0,25.7,82.7,5.01,1814.4,tea
69.1,28.8,22.2,23.5,81.2,5.11,1859.7,tea
63.4,27.3,28.5,21.8,86.1,5.47,2017.1,tea
43.5,23.3,21.6,21.8,81.9,5.23,2018.2,tea
55.1,27.5,32.6,18.1,80.9,5.08,1981.8,tea
71.6,33.6,60.3,22.7,80.9,5.24,1684.9,tea
46.3,27.2,33.0,25.2,79.9,5.07,1877.3,tea
52.4,28.1,25.3,29.1,77.9,5.3,1692.3,tea
67.9,25.4,23.6,20.7,78.6,5.18,1943.1,tea
73.0,28.5,43.5,20.1,80.8,5.18,2075.9,tea
71.6,31.3,29.0,24.0,79.1,5.08,2102.7,tea
65.6,34.2,16.9,18.5,81.0,5.0,1916.5,tea
76.3,22.5,25.7,23.0,83.4,4.9,2133.9,tea
85.3,26.4,24.7,28.6,79.0,5.4,1897.6,tea
57.9,10.2,45.2,21.8,79.2,5.45,2086.4,tea
71.1,23.8,48.1,22.5,80.8,5.26,2078.4,tea
45.2,31.8,20.8,21.4,81.5,4.8,2244.1,tea
54.6,30.6,32.7,17.7,76.0,5.4,2128.2,tea
64.8,23.0,18.7,15.6,79.4,5.33,1781.8,tea
54.4,17.7,32.5,22.9,80.8,5.21,2038.8,tea
40.3,22.3,24.4,22.0,78.4,5.27,2031.2,tea
70.2,20.6,22.5,24.5,77.1,5.42,2219.7,tea
52.4,31.4,35.1,19.3,79.1,5.22,1768.2,tea
60.8,26.6,38.6,21.0,78.6,5.33,1733.1,tea
87.2,21.8,33.0,21.3,75.0,5.0,2146.9,tea
74.7,28.9,37.3,25.1,82.3,5.37,1924.4,tea
34.8,21.6,28.7,19.9,79.9,5.23,1963.3,tea
41.4,21.9,38.8,25.9,80.7,5.51,1789.5,tea
72.6,43.0,23.5,28.5,79.7,5.37,1419.9,tea
91.4,38.6,45.2,20.8,80.3,5.35,1497.2,tea
59.4,34.0,26.4,19.5,81.0,5.34,1942.4,tea
68.3,28.6,42.2,22.4,85.4,5.09,2164.9,tea
67.2,31.6,26.2,26.1,79.8,5.26,1777.7,tea
57.5,20.5,39.6,26.8,77.0,5.36,1453.7,tea
72.0,16.9,30.4,23.8,77.4,5.4,2120.7,tea
83.0,25.3,11.1,24.2,79.6,5.04,2140.8,tea
55.1,24.7,25.6,20.8,77.0,5.27,2095.4,tea
76.8,25.1,17.9,22.9,81.6,5.18,1801.8,tea
43.7,25.0,37.4,19.1,77.2,5.0,1599.1,tea
34.3,25.3,33.6,17.7,82.0,5.22,1675.7,tea
59.6,28.7,23.5,22.4,78.1,5.46,2336.6,tea
52.0,45.4,25.3,19.6,76.3,5.38,1579.0,tea
37.3,36.8,43.0,23.4,75.4,5.0,1861.9,tea
48.5,30.6,25.5,27.0,76.6,5.36,1368.9,tea
45.2,25.5,19.5,19.9,78.6,5.32,1456.5,tea
87.6,31.2,33.6,19.3,81.2,5.41,1697.3,tea
62.6,24.5,28.3,26.5,81.5,5.43,1909.5,tea
62.1,24.8,15.7,19.9,82.7,5.04,1742.5,tea
82.3,29.2,33.1,23.9,78.1,5.23,1560.5,tea
62.0,10.6,39.8,25.3,85.0,5.34,1792.7,tea
48.0,27.8,30.3,23.0,78.7,5.63,1801.8,tea
31.5,17.4,35.7,23.5,81.7,5.55,1433.5,tea
86.4,31.0,16.7,21.1,81.9,5.29,1997.3,tea
84.2,25.7,38.4,23.5,81.4,5.47,1842.9,tea
85.9,50.5,38.6,18.4,78.6,5.44,1749.5,tea
41.2,29.1,47.4,24.7,75.5,5.09,1475.1,tea
51.9,23.4,33.9,21.5,80.8,5.12,1707.9,tea
41.0,39.7,38.5,16.8,77.9,5.35,1410.2,tea
78.6,33.0,33.0,23.4,81.1,5.35,2035.3,tea
49.2,34.6,29.7,26.9,78.9,4.97,1866.8,tea
47.5,21.5,21.1,22.9,77.0,5.2,1867.5,tea
39.7,30.2,22.4,22.9,80.1,4.88,2026.0,tea
46.1,21.8,24.5,19.4,78.0,4.85,1864.9,tea
36.6,37.5,46.5,23.5,80.0,5.47,1869.2,tea
65.3,27.2,34.9,21.2,83.4,5.2,1764.9,tea
73.9,21.0,23.6,18.4,77.8,5.14,1945.3,tea
76.9,24.8,55.6,22.1,86.0,5.46,2141.8,tea
40.3,19.4,33.8,22.1,81.0,5.3,1842.3,tea
58.1,28.9,11.9,19.3,80.1,5.43,1990.3,tea
70.9,28.1,25.4,16.9,80.8,5.1,1675.9,tea
65.9,35.9,17.6,22.1,80.8,5.15,1753.8,tea
33.9,23.5,30.3,19.5,80.8,5.41,1708.5,tea
86.6,42.6,38.0,24.0,81.8,5.3,1655.9,tea
66.3,29.3,40.5,20.8,81.5,5.35,1956.3,tea
48.2,14.2,33.1,27.7,83.2,5.28,1458.0,tea
83.3,26.0,31.2,21.6,79.9,5.44,1616.3,tea
54.0,23.7,23.6,23.3,80.5,5.32,2102.4,tea
64.5,28.6,25.8,18.6,77.8,5.08,1588.9,tea
36.4,29.1,48.2,19.1,78.9,5.14,2316.2,tea
22.6,30.2,48.8,21.0,80.7,5.31,1774.8,tea
62.6,31.2,38.2,21.7,82.0,5.38,1826.5,tea
72.2,31.5,34.5,18.2,76.8,4.97,1601.1,tea
77.1,20.3,49.4,26.2,78.3,5.27,1783.2,tea
73.7,5.0,26.6,21.3,80.4,5.18,1961.1,tea
55.0,20.2,19.8,23.8,78.2,5.16,1535.4,tea
57.0,35.1,17.2,21.3,81.0,5.44,2024.5,tea
58.1,24.2,30.7,25.2,76.1,5.34,2086.6,tea
59.4,21.2,36.2,19.7,80.0,5.04,2053.4,tea
57.0,21.1,22.0,17.8,80.3,5.02,2283.9,tea
48.3,27.2,37.4,22.7,84.7,5.29,2333.3,tea
41.8,24.0,49.1,22.1,81.1,5.3,2011.4,tea
99.0,32.8,41.6,22.9,85.0,5.03,2103.1,tea
65.1,23.1,41.5,19.6,78.0,5.28,2006.9,tea
